Date	Open	High	Low	Close	Volume
Monday, December 6, 2010 12:00:00 AM UTC	50.1	50.1	50.1	50.1	1
Tuesday, December 7, 2010 12:00:00 AM UTC	50.1	50.1	50.1	50.1	0
Wednesday, December 8, 2010 12:00:00 AM UTC	50.0	50.0	50.0	50.0	5
Thursday, December 9, 2010 12:00:00 AM UTC	50.0	50.0	50.0	50.0	0
Friday, December 10, 2010 12:00:00 AM UTC	50.0	50.0	50.0	50.0	0
Saturday, December 11, 2010 12:00:00 AM UTC	50.0	50.0	50.0	50.0	0
Sunday, December 12, 2010 12:00:00 AM UTC	50.0	50.0	50.0	50.0	0
Monday, December 13, 2010 12:00:00 AM UTC	50.0	50.0	50.0	50.0	0
Tuesday, December 14, 2010 12:00:00 AM UTC	50.0	50.0	50.0	50.0	0
Wednesday, December 15, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	67
Thursday, December 16, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Friday, December 17, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Saturday, December 18, 2010 12:00:00 AM UTC	55.0	55.0	54.5	55.0	4
Sunday, December 19, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Monday, December 20, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	31
Tuesday, December 21, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Wednesday, December 22, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Thursday, December 23, 2010 12:00:00 AM UTC	54.9	55.0	54.9	55.0	20
Friday, December 24, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Saturday, December 25, 2010 12:00:00 AM UTC	55.0	55.0	54.9	55.0	80
Sunday, December 26, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Monday, December 27, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Tuesday, December 28, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Wednesday, December 29, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Thursday, December 30, 2010 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Friday, December 31, 2010 12:00:00 AM UTC	55.0	55.0	54.9	55.0	103
Saturday, January 1, 2011 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Sunday, January 2, 2011 12:00:00 AM UTC	55.0	55.0	55.0	55.0	0
Monday, January 3, 2011 12:00:00 AM UTC	56.0	56.0	55.9	56.0	101
Tuesday, January 4, 2011 12:00:00 AM UTC	57.0	57.0	57.0	57.0	100
Wednesday, January 5, 2011 12:00:00 AM UTC	56.1	56.6	56.1	56.1	15
Thursday, January 6, 2011 12:00:00 AM UTC	56.1	56.1	56.1	56.1	0
Friday, January 7, 2011 12:00:00 AM UTC	56.1	56.1	56.1	56.1	0
Saturday, January 8, 2011 12:00:00 AM UTC	57.9	57.9	57.9	57.9	10
Sunday, January 9, 2011 12:00:00 AM UTC	58.0	58.0	57.9	58.0	110
Monday, January 10, 2011 12:00:00 AM UTC	58.0	58.0	58.0	58.0	0
Tuesday, January 11, 2011 12:00:00 AM UTC	58.0	58.0	58.0	58.0	0
Wednesday, January 12, 2011 12:00:00 AM UTC	58.0	58.0	58.0	58.0	0
Thursday, January 13, 2011 12:00:00 AM UTC	58.0	58.0	58.0	58.0	0
Friday, January 14, 2011 12:00:00 AM UTC	58.9	58.9	58.9	58.9	20
Saturday, January 15, 2011 12:00:00 AM UTC	58.9	58.9	58.9	58.9	0
Sunday, January 16, 2011 12:00:00 AM UTC	58.9	58.9	58.9	58.9	0
Monday, January 17, 2011 12:00:00 AM UTC	58.9	58.9	58.9	58.9	0
Tuesday, January 18, 2011 12:00:00 AM UTC	58.9	58.9	58.9	58.9	0
Wednesday, January 19, 2011 12:00:00 AM UTC	58.9	58.9	58.9	58.9	0
Thursday, January 20, 2011 12:00:00 AM UTC	58.9	58.9	56.6	56.6	110
Friday, January 21, 2011 12:00:00 AM UTC	59.9	59.9	59.9	59.9	10
Saturday, January 22, 2011 12:00:00 AM UTC	59.9	59.9	59.9	59.9	0
Sunday, January 23, 2011 12:00:00 AM UTC	59.9	59.9	59.9	59.9	0
Monday, January 24, 2011 12:00:00 AM UTC	62.1	62.1	62.1	62.1	10
Tuesday, January 25, 2011 12:00:00 AM UTC	62.1	62.1	62.1	62.1	0
Wednesday, January 26, 2011 12:00:00 AM UTC	62.0	62.0	62.0	62.0	1
Thursday, January 27, 2011 12:00:00 AM UTC	62.0	62.0	62.0	62.0	0
Friday, January 28, 2011 12:00:00 AM UTC	62.0	62.0	62.0	62.0	0
Saturday, January 29, 2011 12:00:00 AM UTC	62.0	62.2	58.2	62.2	15
Sunday, January 30, 2011 12:00:00 AM UTC	62.2	62.2	62.2	62.2	0
Monday, January 31, 2011 12:00:00 AM UTC	62.2	62.2	62.2	62.2	29
Tuesday, February 1, 2011 12:00:00 AM UTC	62.2	62.2	62.2	62.2	0
Wednesday, February 2, 2011 12:00:00 AM UTC	60.0	60.0	60.0	60.0	1
Thursday, February 3, 2011 12:00:00 AM UTC	60.0	60.0	60.0	60.0	0
Friday, February 4, 2011 12:00:00 AM UTC	60.0	60.0	60.0	60.0	0
Saturday, February 5, 2011 12:00:00 AM UTC	61.0	61.0	61.0	61.0	1
Sunday, February 6, 2011 12:00:00 AM UTC	61.0	61.0	61.0	61.0	0
Monday, February 7, 2011 12:00:00 AM UTC	61.0	61.0	61.0	61.0	0
Tuesday, February 8, 2011 12:00:00 AM UTC	61.0	61.0	61.0	61.0	0
Wednesday, February 9, 2011 12:00:00 AM UTC	61.0	61.0	61.0	61.0	0
Thursday, February 10, 2011 12:00:00 AM UTC	60.1	60.2	59.8	59.8	20
Friday, February 11, 2011 12:00:00 AM UTC	59.8	59.8	59.8	59.8	0
Saturday, February 12, 2011 12:00:00 AM UTC	59.4	59.4	59.4	59.4	5
Sunday, February 13, 2011 12:00:00 AM UTC	59.4	59.4	59.4	59.4	0
Monday, February 14, 2011 12:00:00 AM UTC	59.4	59.4	59.4	59.4	0
Tuesday, February 15, 2011 12:00:00 AM UTC	59.4	59.4	59.4	59.4	0
Wednesday, February 16, 2011 12:00:00 AM UTC	60.0	60.0	60.0	60.0	6
Thursday, February 17, 2011 12:00:00 AM UTC	60.0	60.0	60.0	60.0	0
Friday, February 18, 2011 12:00:00 AM UTC	60.0	60.0	60.0	60.0	0
Saturday, February 19, 2011 12:00:00 AM UTC	60.0	60.0	60.0	60.0	0
Sunday, February 20, 2011 12:00:00 AM UTC	60.0	60.0	60.0	60.0	0
Monday, February 21, 2011 12:00:00 AM UTC	60.0	60.0	60.0	60.0	0
Tuesday, February 22, 2011 12:00:00 AM UTC	60.0	60.0	60.0	60.0	0
Wednesday, February 23, 2011 12:00:00 AM UTC	60.0	60.0	60.0	60.0	0
Thursday, February 24, 2011 12:00:00 AM UTC	64.8	64.8	60.6	64.8	100
Friday, February 25, 2011 12:00:00 AM UTC	63.8	63.8	63.8	63.8	1
